Group,Treatment,Diffusion,Proportion,Cluster Radii,Cluster Area
MyoH,Low,14.56330401,0.663034788,43.21901342,5865.153
MyoH,Low,14.06230227,0.519308895,29.25434259,2687.264
MyoH,Low,10.76991372,0.719417322,38.38410051,4626.285
MyoH,Low,15.70760081,0.645328397,44.28773176,6158.806
MyoH,Low,22.44449766,0.452339052,40.98246868,5273.827
MyoH,Low,16.79438798,0.417846144,28.84871036,2613.259
MyoH,Low,18.20741552,0.418445352,31.30817642,3077.834
MyoH,Low,19.35539339,0.616792161,50.50886597,8010.597
MyoH,Low,26.326318,0.123664459,30.04136744,2833.799
MyoH,Low,21.26813376,0.520630281,44.36686949,6180.836
MyoH,Low,25.08632883,0.248015885,33.36018451,3494.512
MyoH,Low,23.44452649,0.215283626,29.87643342,2802.768
MyoH,Low,22.17215402,0.415729754,37.94845649,4521.868
MyoH,Low,29.15760046,0.193978294,36.17470876,4109.034
MyoH,Low,32.49404185,0.220554823,41.68868166,5457.151
MyoH,Low,35.42632874,0.162692109,42.3097992,5620.974
MyoH,Low,10.30718514,0.693281692,33.60472745,3545.932
MyoH,Low,34.48061451,0.156100976,40.85869701,5242.02
MyoH,Low,17.30217805,0.552641789,38.67633948,4696.998
MyoH,Low,21.36387732,0.228239641,27.68200915,2406.162
MyoH,Low,25.41340559,0.313499899,37.01879364,4303.028
MyoH,Low,28.54494468,0.303042676,40.95651726,5267.15
MyoH,Low,33.47953535,0.268967675,45.79761279,6585.903
MyoH,Low,14.54553217,0.672870004,44.46407338,6207.949
MyoH,Low,18.26406578,0.568534824,42.33033575,5626.432
MyoH,Low,20.83027791,0.454875724,38.21197998,4584.888
MyoH,Low,21.9938129,0.514452187,45.29690447,6442.682
MyoH,Low,15.45554093,0.637142503,42.5939688,5696.733
MyoH,Low,30.02535943,0.501470161,60.22780798,11390.001
MyoH,Low,25.11964819,0.497133992,49.95296514,7835.238
MyoH,Low,27.5332168,0.450721526,50.12615296,7889.662
MyoH,Low,22.29574501,0.459757687,41.26989773,5348.062
MyoH,Low,22.85260503,0.472524551,43.32449036,5893.816
MyoH,Low,19.47551324,0.610592133,50.01314795,7854.129
MyoH,Low,21.87896842,0.552345546,48.87468051,7500.626
MyoH,Low,19.02661919,0.281378102,26.4765369,2201.162
MyoH,Low,27.59445719,0.374269537,44.09959053,6106.59
MyoH,Low,20.01524525,0.67242971,61.10213857,11723.1
MyoH,Low,16.32210597,0.662635519,48.38122234,7349.932
MyoH,Low,22.84760437,0.531035915,48.71930522,7453.012
MyoH,Low,21.26321734,0.397226276,35.27562086,3907.32
MyoG,Low,41.700602,0.189591587,51.45627975,8313.931
MyoG,Low,20.40974737,0.229401204,26.48556872,2202.664
MyoG,Low,13.14789617,0.601529317,32.99589339,3418.609
MyoG,Low,16.82986322,0.408582027,28.45680043,2542.739
MyoG,Low,15.98268261,0.575881191,37.6844466,4459.169
MyoG,Low,18.78826389,0.512501823,38.54017261,4663.983
MyoG,Low,16.24036459,0.534070737,34.85585879,3814.883
MyoG,Low,16.56837105,0.544685062,36.38881504,4157.818
MyoG,Low,12.88069549,0.678674789,40.08616516,5045.668
MyoG,Low,30.71420251,0.330594548,45.88280904,6610.429
MyoG,Low,12.29119928,0.715876244,43.26001964,5876.288
MyoG,Low,13.89737107,0.595235093,34.33442684,3701.598
MyoG,Low,23.47518344,0.289585738,33.04435834,3428.659
MyoG,Low,20.02244702,0.276067461,27.65789069,2401.971
MyoG,Low,17.06743202,0.606862609,43.41340308,5918.032
MyoG,Low,19.51634648,0.54010599,42.43661816,5654.721
MyoG,Low,19.39444024,0.481344427,37.39367943,4390.622
MyoG,Low,21.12666148,0.543443153,46.27389037,6723.597
MyoG,Low,21.97525613,0.378275987,35.34567695,3922.855
MyoG,Low,13.22426541,0.667379931,39.75786987,4963.361
MyoG,Low,23.60068947,0.37187924,37.57349062,4432.949
MyoG,Low,36.03104122,0.384216179,58.51248438,10750.452
MyoG,Low,28.33582937,0.34116361,43.00890146,5808.264
MyoG,Low,14.98137326,0.651978647,43.04728181,5818.635
MyoG,Low,22.98424536,0.583339577,55.16301551,9554.889
MyoG,Low,33.44363218,0.30944292,48.42993166,7364.739
MyoG,Low,29.62920374,0.275210779,40.8797522,5247.424
MyoG,Low,29.56117839,0.501340545,59.28129532,11034.814
