Radius,Volume,Ace2.fraction,Ace2.bud8.fraction
1.004269623,4.24267328,0.0000012,0.00000081
1.012845329,4.352291733,0.0000016,0.00000055
1.021494265,4.464742411,0.00000097,0.00000028
1.030217057,4.58009849,0.0000013,0.00000087
1.039014334,4.698435038,0.0000014,0
1.047886734,4.819829062,0.0000011,0
1.056834897,4.944359557,0.0000011,0
1.065859471,5.072107561,0.00000084,0.00000064
1.074961108,5.203156206,0.0000013,0
1.084140466,5.33759077,0.0000014,0.00000034
1.093398208,5.475498736,0.00000098,0
1.102735005,5.616969846,0.0000015,0.00000071
1.112151531,5.762096162,0.00000059,0
1.121648468,5.910972124,0.0000011,0
1.1312265,6.063694612,0.00000077,0
1.140886322,6.220363009,0.000001,0.000002
1.150628632,6.381079266,0.00000057,0
1.160454134,6.545947968,0.0000011,0
1.170363538,6.715076402,0.00000068,0
1.18035756,6.888574628,0.0000011,0.00000044
1.190436925,7.066555548,0.0000016,0.0000009
1.200602359,7.249134981,0.00000074,0
1.210854599,7.436431742,0.0000012,0.00000047
1.221194385,7.628567711,0.0000011,0
1.231622465,7.82566792,0.000001,0.00000099
1.242139593,8.02786063,0.0000013,0
1.252746529,8.235277417,0.0000014,0
1.26344404,8.448053257,0.0000012,0
1.274232901,8.666326611,0.0000012,0
1.28511389,8.89023952,0.0000012,0
1.296087794,9.119937693,0.00000093,0.00000058
1.307155407,9.355570605,0.00000095,0
1.31831753,9.597291592,0.00000086,0.0000012
1.329574968,9.845257953,0.0000018,0
1.340928537,10.09963105,0.0000017,0.00000064
1.352379056,10.36057642,0.00000092,0
1.363927354,10.62826386,0.0000014,0
1.375574266,10.90286757,0.0000019,0
1.387320634,11.18456625,0.000001,0.0000021
1.399167307,11.47354322,0.0000019,0
1.411115142,11.76998652,0.0000016,0.000003
1.423165002,12.07408905,0.00000092,0
1.435317759,12.38604873,0.0000013,0
1.447574291,12.70606854,0.0000018,0
1.459935485,13.03435674,0.0000018,0.0000025
1.472402234,13.37112696,0.0000015,0
1.48497544,13.71659835,0.0000017,0
1.497656011,14.07099573,0.0000016,0
1.510444865,14.43454971,0.0000011,0.00000092
1.523342926,14.80749689,0.0000011,0.0000028
1.536351127,15.19007994,0.0000014,0
1.549470408,15.58254784,0.0000012,0
1.562701718,15.98515598,0.0000024,0
1.576046013,16.39816635,0.0000013,0
1.589504259,16.82184772,0.0000026,0.0000032
1.603077428,17.25647579,0.0000011,0
1.616766501,17.7023334,0.0000014,0
1.630572469,18.15971069,0.0000014,0.0000023
1.644496329,18.62890529,0.0000017,0
1.658539089,19.11022253,0.00000073,0
1.672701763,19.60397561,0.0000025,0.0000012
1.686985376,20.11048585,0.0000015,0
1.70139096,20.63008286,0.00000053,0.0000026
1.715919557,21.16310476,0.0000019,0.0000013
1.730572217,21.70989841,0.0000014,0
1.74535,22.27081963,0.0000014,0
1.760253974,22.84623344,0.00000087,0
1.775285217,23.43651428,0.0000024,0
1.790444815,24.04204628,0.0000025,0.0000031
1.805733865,24.66322348,0.00000094,0
1.821153472,25.30045011,0.0000023,0.0000032
1.83670475,25.95414084,0.000003,0
1.852388825,26.62472106,0.0000014,0
1.86820683,27.31262714,0.000001,0.0000017
1.884159909,28.01830672,0.0000021,0.0000036
1.900249215,28.74221904,0.0000029,0.0000018
1.916475912,29.48483516,0.0000019,0.0000037
1.932841172,30.24663834,0.0000023,0
1.949346179,31.02812433,0.00000079,0
1.965992127,31.82980165,0.000002,0
1.982780219,32.65219202,0.0000033,0.0000021
1.999711668,33.49583057,0.00000085,0
2.016787699,34.36126632,0.0000035,0
2.034009546,35.24906244,0.0000031,0
2.051378455,36.15979664,0.0000018,0
2.068895682,37.0940616,0.0000014,0.0000047
2.086562492,38.05246527,0.00000048,0
2.104380164,39.03563133,0.000004,0
2.122349985,40.04419956,0.00000051,0
2.140473255,41.0788263,0.0000021,0.0000078
2.158751284,42.1401848,0.0000032,0
2.177185393,43.22896576,0.0000017,0
2.195776916,44.34587767,0.0000034,0
