Time (hours),Strictly_aerobic_line_01,Strictly_aerobic_line_02,Strictly_aerobic_line_03,Strictly_aerobic_line_04,Strictly_aerobic_line_05,Strictly_aerobic_supplemental_O2_line_01,Strictly_aerobic_supplemental_O2_line_02,Strictly_aerobic_supplemental_O2_line_03,Strictly_aerobic_supplemental_O2_line_04,Strictly_aerobic_supplemental_O2_line_05,Average (no supplemental O2),Average (supplemental O2)
0.009722222222,98.0926285,100.882751,99.0976906,96.5238095,100.29198,99.6394021,100.056306,100.39023,100.089695,100.322885,98.97777192,100.0997036
0.01,98.2849146,100.930467,98.0695083,95.8761905,100.082383,99.5812412,100.012808,100.434186,100.149492,100.313048,98.64869268,100.098155
0.01027777778,98.5252723,100.951674,97.2798219,96.6095238,99.6107907,99.6200151,99.8919786,100.34139,100.144509,100.322885,98.59541654,100.0641555
0.01055555556,98.0018267,100.994089,96.6650325,97.3619048,99.9542963,99.6054749,99.9113113,100.238827,100.164441,100.185173,98.59542986,100.0210454
0.01083333333,97.4676986,101.025899,96.8505293,99.3428571,100.01834,99.6297086,99.9983084,100.180219,100.174407,100.140909,98.9410648,100.0247104
0.01111111111,97.152563,101.105426,97.1261246,96.9952381,100.606375,99.5812412,100.104638,100.292551,100.254136,100.13599,98.59714534,100.0737112
0.01138888889,97.8789773,101.147841,97.1950234,99.0952381,100.559798,99.4988465,100.104638,100.307202,100.303967,100.145827,99.17537556,100.0720961
0.01166666667,97.836247,101.216764,96.8293297,98.9380952,101.182765,99.4164518,100.036974,100.34139,100.224238,100.175336,99.20064018,100.038878
0.01194444444,97.5104289,101.275084,96.7869304,98.2380952,101.49716,99.4067583,99.959643,100.31697,100.194339,100.209764,99.0615397,100.0174949
0.01222222222,97.6012306,101.3228,97.4229195,97.6761905,101.962931,99.3776778,99.9403103,100.375578,100.169424,100.24911,99.19721432,100.02242
0.0125,98.0659221,101.375819,98.1543068,95.7904762,101.316674,99.3922181,99.8533133,100.404882,100.254136,100.342558,98.94063962,100.0494215
0.01277777778,97.8415883,101.402328,98.0801081,99.6952381,100.94988,99.4067583,99.901645,100.360926,100.289017,100.332721,99.5938285,100.0582135
0.01305555556,97.1846107,101.418233,97.8787116,97.9047619,100.117316,99.4164518,99.8726459,100.331622,100.259119,100.376985,98.90072664,100.0513647
0.01333333333,97.0617612,101.38112,97.5448174,97.8904762,100.478288,99.430992,99.9161445,100.31697,100.274068,100.313048,98.87129256,100.0502445
0.01361111111,97.5371353,101.418233,97.682615,95.9190476,100.361845,99.3195169,99.959643,100.385346,100.259119,100.381904,98.58377518,100.0611058
0.01388888889,98.1086523,101.471251,97.3063215,98.5380952,101.22352,99.3389039,99.9451435,100.43907,100.353797,100.337639,99.329568,100.0829107
0.01416666667,98.1941128,101.550778,97.7250142,96.0428571,101.246809,99.3389039,99.9644762,100.41465,100.30895,100.381904,98.95191422,100.0817768
0.01444444444,98.3703751,101.545476,97.6084163,97.552381,101.066323,99.430992,99.930644,100.312086,100.368746,100.342558,99.22859428,100.0770052
0.01472222222,98.1407,101.529571,97.4388192,96.1238095,100.92077,99.4843062,100.017641,100.302318,100.348814,100.401577,98.83073394,100.1109312
0.015,98.1513826,101.619702,97.7038146,95.0333333,101.03139,99.5133867,100.06114,100.360926,100.388679,100.30813,98.7079245,100.1264523
0.01527777778,98.178089,101.662116,97.8522121,92.2380952,101.287564,99.527927,100.06114,100.434186,100.363763,100.298293,98.24361526,100.1370618
0.01555555556,98.4184467,101.720436,98.4405019,97.6238095,100.705351,99.5327737,100.06114,100.492794,100.35878,100.239274,99.38170902,100.1369523
0.01583333333,98.5359548,101.587891,98.3239039,91.6761905,100.903303,99.5230802,100.051473,100.531866,100.333865,100.381904,98.20544864,100.1644376
0.01611111111,98.0552395,101.603796,98.9227936,91.6285714,100.990635,99.5327737,100.065973,100.556285,100.388679,100.431086,98.2402071,100.1949593
0.01638888889,98.1513826,101.593193,97.9423105,98.0952381,101.299208,99.4939997,100.094972,100.48791,100.393662,100.416332,99.41626644,100.1773751
0.01666666667,97.7881755,101.741643,97.8310124,96.5904762,101.374896,99.4939997,100.133637,100.448838,100.528204,100.372067,99.06524062,100.1953491
0.01694444444,97.9804616,101.757548,97.4971182,97.4095238,101.404006,99.5230802,100.133637,100.399998,100.518238,100.332721,99.20973152,100.1815348
0.01722222222,97.7774929,101.837076,97.682615,98.1095238,101.654358,99.6151684,100.123971,100.43907,100.597967,100.342558,99.41221314,100.2237469
0.0175,98.4077641,101.757548,97.7833132,95.7285714,100.996457,99.6248619,100.172303,100.448838,100.523221,100.283538,98.93473074,100.2105524
0.01777777778,98.9418922,101.789359,98.0483087,95.5190476,100.664596,99.6345554,100.249633,100.492794,100.473391,100.342558,98.9926407,100.2385863
0.01805555556,99.032694,101.789359,98.7372968,92.9,101.048856,99.6297086,100.254467,100.502562,100.42356,100.401577,98.70164116,100.2423749
0.01833333333,98.9472335,101.943112,98.1649067,91.6238095,101.561204,99.6781761,100.230301,100.522098,100.463424,100.495024,98.44805314,100.2778046
0.01861111111,98.4024228,102.001432,97.566017,91.2571429,101.537915,99.6636358,100.230301,100.556285,100.508272,100.401577,98.15298594,100.2720142
