R,Low none,Low 0.1,High none,High 0.1
10,0.180571429,0.180571429,0.234074074,0.234074074
9.047619048,0.116177308,0.092713533,0.233542925,0.233544396
8.095238095,0.043341694,0.069960073,0.232874977,0.232883996
7.142857143,0.010884554,0.055390555,0.232030838,0.232056492
6.19047619,0.002433671,0.044447054,0.23096483,0.231025523
5.238095238,0.000544424,0.036293792,0.22963373,0.229764991
4.285714286,0.000126729,0.030330502,0.228020979,0.228285067
3.333333333,3.15E-05,0.026102316,0.226186981,0.226674017
2.380952381,8.76E-06,0.023279602,0.22434124,0.225136731
1.428571429,3.01E-06,0.021635779,0.222874059,0.223977316
0.476190476,1.67E-06,0.021010775,0.222209043,0.223470172
-0.476190476,1.67E-06,0.021010775,0.222209043,0.223470172
-1.428571429,3.01E-06,0.021635779,0.222874059,0.223977316
-2.380952381,8.76E-06,0.023279602,0.22434124,0.225136731
-3.333333333,3.15E-05,0.026102316,0.226186981,0.226674017
-4.285714286,0.000126729,0.030330502,0.228020979,0.228285067
-5.238095238,0.000544424,0.036293792,0.22963373,0.229764991
-6.19047619,0.002433671,0.044447054,0.23096483,0.231025523
-7.142857143,0.010884554,0.055390555,0.232030838,0.232056492
-8.095238095,0.043341694,0.069960073,0.232874977,0.232883996
-9.047619048,0.116177308,0.092713533,0.233542925,0.233544396
-10,0.180571429,0.180571429,0.234074074,0.234074074
