Oxygen,Radius,Myoglobin,Metabolism
0.014,5,0.19,0.662620056
0.015,5,0.19,0.683033334
0.016,5,0.19,0.701539538
0.017,5,0.19,0.718327363
0.018,5,0.19,0.733574444
0.019,5,0.19,0.747445059
0.011,5,0.2,0.588774281
0.012,5,0.2,0.616148005
0.013,5,0.2,0.64101084
0.014,5,0.2,0.663562024
0.015,5,0.2,0.684001563
0.016,5,0.2,0.702526179
0.017,5,0.2,0.719325122
0.018,5,0.2,0.734576712
0.019,5,0.2,0.748445972
0.011,10,0,0.273898838
0.012,10,0,0.288478686
0.013,10,0,0.302406133
0.014,10,0,0.315744718
0.015,10,0,0.328548555
0.016,10,0,0.340864249
0.017,10,0,0.352732245
0.018,10,0,0.364187829
0.019,10,0,0.375261927
0.011,10,0.01,0.292688314
0.012,10,0.01,0.308485695
0.013,10,0.01,0.323498934
0.014,10,0.01,0.33778966
0.015,10,0.01,0.351413225
0.016,10,0.01,0.364420171
0.017,10,0.01,0.376857057
0.018,10,0.01,0.3887669
0.019,10,0.01,0.400189443
0.011,10,0.02,0.305828023
0.012,10,0.02,0.322654192
0.013,10,0.02,0.338627048
0.014,10,0.02,0.353801583
0.015,10,0.02,0.368228499
0.016,10,0.02,0.381955722
0.017,10,0.02,0.395029114
0.018,10,0.02,0.407492715
0.019,10,0.02,0.419388723
0.011,10,0.03,0.315704399
0.012,10,0.03,0.333389953
0.013,10,0.03,0.350184702
0.014,10,0.03,0.366136492
0.015,10,0.03,0.381289975
0.016,10,0.03,0.395688357
0.017,10,0.03,0.409374218
0.018,10,0.03,0.422389757
0.019,10,0.03,0.434776668
0.011,10,0.04,0.323470814
0.012,10,0.04,0.341879894
0.013,10,0.04,0.359378251
0.014,10,0.04,0.376007219
0.015,10,0.04,0.391805443
0.016,10,0.04,0.406810915
0.017,10,0.04,0.421061997
0.018,10,0.04,0.434597772
0.019,10,0.04,0.447457953
0.011,10,0.05,0.329772217
0.012,10,0.05,0.348797003
0.013,10,0.05,0.36690143
0.014,10,0.05,0.384121211
0.015,10,0.05,0.400489515
0.016,10,0.05,0.416039265
0.017,10,0.05,0.430804398
0.018,10,0.05,0.444820381
0.019,10,0.05,0.458124217
0.011,10,0.06,0.335004921
0.012,10,0.06,0.354559166
0.013,10,0.06,0.37318962
0.014,10,0.06,0.390927253
0.015,10,0.06,0.407800409
0.016,10,0.06,0.423837336
0.017,10,0.06,0.439067682
0.018,10,0.06,0.453523187
0.019,10,0.06,0.467237829
0.011,10,0.07,0.339429135
0.012,10,0.07,0.359443039
0.013,10,0.07,0.378533521
0.014,10,0.07,0.396727588
0.015,10,0.07,0.414049394
0.016,10,0.07,0.430522992
0.017,10,0.07,0.446174016
0.018,10,0.07,0.461030577
0.019,10,0.07,0.475123544
0.011,10,0.08,0.34322432
0.012,10,0.08,0.363640714
0.013,10,0.08,0.383136395
0.014,10,0.08,0.401735058
0.015,10,0.08,0.419457256
0.016,10,0.08,0.436323311
0.017,10,0.08,0.452355186
0.018,10,0.08,0.467577551
0.019,10,0.08,0.482018221
0.011,10,0.09,0.346519034
0.012,10,0.09,0.367290572
0.013,10,0.09,0.387145527
0.014,10,0.09,0.406104825
0.015,10,0.09,0.424185925
0.016,10,0.09,0.441405859
0.017,10,0.09,0.457783265
0.018,10,0.09,0.473339609
0.019,10,0.09,0.488099774
0.011,10,0.1,0.349408207
0.012,10,0.1,0.370495276
0.013,10,0.1,0.390670725
0.014,10,0.1,0.409953161
0.015,10,0.1,0.428357383
0.016,10,0.1,0.445897529
0.017,10,0.1,0.462589241
0.018,10,0.1,0.478451035
0.019,10,0.1,0.493505018
0.011,10,0.11,0.351963691
0.012,10,0.11,0.37333284
0.013,10,0.11,0.393795786
0.014,10,0.11,0.413369186
0.015,10,0.11,0.432065548
0.016,10,0.11,0.449896466
0.017,10,0.11,0.466874894
0.018,10,0.11,0.483016639
0.019,10,0.11,0.498341213
0.011,10,0.12,0.354241007
0.012,10,0.12,0.375863747
0.013,10,0.12,0.396585909
0.014,10,0.12,0.416422504
0.015,10,0.12,0.435384062
0.016,10,0.12,0.453479937
0.017,10,0.12,0.470720671
0.018,10,0.12,0.487119597
0.019,10,0.12,0.50269381
0.011,10,0.13,0.356283811
0.012,10,0.13,0.378135697
0.013,10,0.13,0.399092676
0.014,10,0.13,0.419168363
0.015,10,0.13,0.438371576
0.016,10,0.13,0.456709694
0.017,10,0.13,0.474191094
0.018,10,0.13,0.490826854
0.019,10,0.13,0.506631827
0.011,10,0.14,0.358126953
0.012,10,0.14,0.38018686
0.013,10,0.14,0.401357472
