,5,10,15,20,25,30,35,40,45,50,55,60,65,70
0.001,0.108702422,0.129758895,0.130877977,0.129729028,0.128443655,0.127347987,0.126454362,0.125725169,0.125126876,0.124629475,0.124208804,0.123850189,0.123541281,0.123272557
0.002,0.124486354,0.150746228,0.152342482,0.15111773,0.14968273,0.148446454,0.147433251,0.146604331,0.145923096,0.145356018,0.144876136,0.144466824,0.14411412,0.14380718
0.003,0.137857238,0.169635491,0.171757673,0.170489452,0.168929888,0.167572304,0.166454683,0.165538151,0.164783736,0.164155109,0.163622859,0.163168576,0.162776956,0.162436024
0.004,0.149103532,0.186867726,0.189582546,0.188302313,0.186639706,0.185176568,0.183966471,0.182971737,0.182151665,0.181467678,0.180888162,0.180393305,0.179966556,0.17959487
0.005,0.158383436,0.202737387,0.206137347,0.204881372,0.20313738,0.201583442,0.200291688,0.199227132,0.198347908,0.197613817,0.196991433,0.196459684,0.19600086,0.19560112
0.006,0.1657808,0.21743408,0.221642313,0.220455428,0.218654569,0.217025633,0.215663344,0.214537213,0.213605297,0.212826216,0.212165138,0.21159996,0.211112018,0.210686729
0.007,0.171347116,0.231071157,0.236243677,0.235181809,0.233353388,0.231667568,0.230247205,0.229068608,0.228090903,0.227272292,0.226576924,0.225981933,0.225467946,0.225019666
0.008,0.175132563,0.243706789,0.250032135,0.249163778,0.247343049,0.245621823,0.244157848,0.242937291,0.241921722,0.241069697,0.240345029,0.239724288,0.239187631,0.238719268
0.009,0.177206913,0.255360388,0.263056724,0.262463337,0.260692167,0.258960957,0.257470392,0.256220085,0.255175754,0.254297495,0.253549204,0.252907407,0.252351947,0.251866743
0.01,0.177670454,0.266026006,0.275335851,0.275111287,0.273438341,0.271726633,0.270229252,0.268963384,0.267900939,0.267004656,0.266239377,0.265581899,0.265012129,0.26451391
0.011,0.176656009,0.275683422,0.286866321,0.287115383,0.285595675,0.283937048,0.282455409,0.28119013,0.280121726,0.279216856,0.278442087,0.277775093,0.27719614,0.27668923
0.012,0.174324022,0.284307276,0.297630882,0.298467097,0.297161223,0.295592949,0.294152207,0.292905621,0.291844821,0.290941958,0.290166168,0.289496582,0.288914241,0.288403493
0.013,0.170853348,0.291874344,0.307604541,0.309147321,0.308120311,0.306682791,0.305310341,0.304102244,0.303063956,0.302174724,0.301407253,0.300742714,0.300163336,0.29965418
0.014,0.166430499,0.298369023,0.316759751,0.319131133,0.318451008,0.317187002,0.315912076,0.31476362,0.313763856,0.312900794,0.3121517,0.311500483,0.310930938,0.3104292
0.015,0.161239519,0.303787147,0.325070579,0.32839176,0.328127894,0.327081612,0.325934659,0.324868031,0.323923676,0.323099976,0.322379881,0.32175071,0.321198321,0.320710222
0.016,0.155453872,0.308138151,0.332515932,0.336903685,0.337125125,0.336341255,0.33535333,0.334391317,0.333519717,0.332749058,0.332069032,0.331470966,0.330943366,0.330475319
0.017,0.149230926,0.311445857,0.33908185,0.344645119,0.345418817,0.344941493,0.344143631,0.343309138,0.342527826,0.341824066,0.341195318,0.340637646,0.340142581,0.339701217
0.018,0.142708925,0.313748008,0.344763037,0.351599817,0.35298895,0.352860767,0.352283261,0.351598828,0.350925212,0.350302145,0.349735867,0.349227853,0.34877314,0.348365103
0.019,0.136006057,0.315094826,0.349563671,0.357758297,0.359820703,0.360081703,0.359753503,0.359240882,0.358691824,0.358162917,0.357670081,0.357220848,0.35681414,0.356445984
0.02,0.129221034,0.315546922,0.353497553,0.363118564,0.36590538,0.366592196,0.366540261,0.366219935,0.365811487,0.36538961,0.364980742,0.364599059,0.364247788,0.363925859
0.021,0.122434616,0.315172774,0.356587759,0.367686419,0.371240919,0.372385974,0.372634728,0.372525542,0.372272597,0.371969758,0.371654768,0.371348919,0.371060103,0.370790454
0.022,0.115711661,0.314046064,0.358865829,0.37147535,0.375832094,0.377462954,0.378033814,0.378152597,0.378068598,0.377895762,0.377683754,0.377461361,0.37724153,0.377029729
0.023,0.109103337,0.312243111,0.360370668,0.374506103,0.379690392,0.381829281,0.382740275,0.383101518,0.383198285,0.383165182,0.383064258,0.382932211,0.382787211,0.382638372
0.024,0.102649298,0.309840555,0.361147185,0.376806025,0.382833681,0.385497165,0.386762655,0.387378319,0.387665778,0.387780693,0.387797879,0.387762179,0.387697202,0.38761581
0.025,0.096379675,0.306913373,0.361244842,0.378408172,0.385285636,0.388484509,0.390114995,0.390994336,0.391480425,0.391750182,0.391891289,0.391956939,0.391976364,0.391966242
0.026,0.090316846,0.303533347,0.360716201,0.379350312,0.38707504,0.39081435,0.392816477,0.393965966,0.394656571,0.395086323,0.395355918,0.395526937,0.395634246,0.395698521
0.027,0.084476942,0.299767912,0.359615489,0.379673846,0.388234944,0.392514258,0.394890822,0.396314164,0.397213046,0.39780638,0.398207715,0.39848701,0.398684858,0.3988259
0.028,0.078871118,0.295679424,0.357997326,0.37942272,0.388801799,0.393615521,0.396365693,0.398063895,0.399172789,0.399931623,0.400466658,0.400856108,0.401146256,0.401365655
0.029,0.073506605,0.291324739,0.355915622,0.378642382,0.388814544,0.394152439,0.397271978,0.3992435,0.400562159,0.401486887,0.402156304,0.402656754,0.403040045,0.403338695
0.03,0.068387551,0.286755091,0.353422638,0.377378808,0.388313725,0.394161458,0.397643083,0.399884043,0.401410384,0.40249993,0.403303204,0.403914478,0.404390964,0.404768998
0.031,0.063515718,0.282016159,0.350568289,0.375677656,0.387340647,0.393680434,0.397514177,0.400018602,0.401748889,0.403000812,0.403936349,0.40465733,0.405226266,0.405683195
0.032,0.058891014,0.277148314,0.34739962,0.373583539,0.385936655,0.392747889,0.396921508,0.399681627,0.401610655,0.40302133,0.404086504,0.404915279,0.405575173,0.406109856
0.033,0.054511907,0.27218694,0.343960452,0.37113944,0.384142449,0.391402342,0.395901766,0.398908269,0.401029594,0.402594351,0.403785677,0.404719563,0.405468314,0.406079077
0.034,0.050375739,0.267162836,0.340291197,0.368386267,0.38199758,0.389681753,0.394491474,0.397733847,0.40003999,0.401753296,0.403066534,0.40410221,0.404937198,0.405621853
0.035,0.046478932,0.262102633,0.336428796,0.36536254,0.379539974,0.387623038,0.392726519,0.396193315,0.398675965,0.400531582,0.401961918,0.403095558,0.404013652,0.40476965
