Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.004,30,0,0.050328657,0
0.005,30,0,0.058457068,0
0.006,30,0,0.065891484,0
0.007,30,0,0.072798347,0
0.008,30,0,0.079284417,0
0.009,30,0,0.085421904,0
0.01,30,0,0.09126207,0
0.02,30,0,0.138928495,0
0.03,30,0,0.17534157,0
0.04,30,0,0.205630312,0
0.05,30,0,0.23189799,0
0.06,30,0,0.255301655,0
0.07,30,0,0.276522668,0
0.08,30,0,0.29600274,0
0.09,30,0,0.314064243,0
0.1,30,0,0.330942985,0
0.11,30,0,0.346809327,0
0.12,30,0,0.361795052,0
0.13,30,0,0.376010012,0
0.14,30,0,0.389545307,0
0.15,30,0,0.402473461,0
0.16,30,0,0.414852391,0
0.17,30,0,0.426731357,0
0.18,30,0,0.438154585,0
0.19,30,0,0.449161483,0
0.2,30,0,0.459785667,0
0.21,30,0,0.470055086,0
0.22,30,0,0.479993611,0
0.23,30,0,0.489622903,0
0.24,30,0,0.498963347,0
0.25,30,0,0.508033849,0
0.001,35,0,0.015201298,0
0.002,35,0,0.026381464,0
0.003,35,0,0.035462709,0
0.004,35,0,0.04328572,0
0.005,35,0,0.050275636,0
0.006,35,0,0.05667021,0
0.007,35,0,0.062612834,0
0.008,35,0,0.068195424,0
0.009,35,0,0.073480076,0
0.01,35,0,0.078510801,0
0.02,35,0,0.119652567,0
0.03,35,0,0.15117948,0
0.04,35,0,0.177478356,0
0.05,35,0,0.200341718,0
0.06,35,0,0.220758228,0
0.07,35,0,0.239312682,0
0.08,35,0,0.256380499,0
0.09,35,0,0.272235613,0
0.1,35,0,0.287081024,0
0.11,35,0,0.30106349,0
0.12,35,0,0.31429462,0
0.13,35,0,0.32686692,0
0.14,35,0,0.338858394,0
0.15,35,0,0.350332186,0
0.16,35,0,0.361338373,0
0.17,35,0,0.371918436,0
0.18,35,0,0.382109181,0
0.19,35,0,0.391943998,0
0.2,35,0,0.401452212,0
0.21,35,0,0.410658511,0
0.22,35,0,0.41958353,0
0.23,35,0,0.428245296,0
0.24,35,0,0.436660508,0
0.25,35,0,0.444844984,0
0.001,40,0,0.013338247,0
0.002,40,0,0.023145319,0
0.003,40,0,0.031110049,0
0.004,40,0,0.037971083,0
0.005,40,0,0.04410196,0
0.006,40,0,0.049711566,0
0.007,40,0,0.054925854,0
0.008,40,0,0.059825521,0
0.009,40,0,0.06446504,0
0.01,40,0,0.068882971,0
0.02,40,0,0.105066319,0
0.03,40,0,0.132856659,0
0.04,40,0,0.156086429,0
0.05,40,0,0.176317518,0
0.06,40,0,0.19441257,0
0.07,40,0,0.210884002,0
0.08,40,0,0.226058459,0
0.09,40,0,0.240173766,0
0.1,40,0,0.25340789,0
0.11,40,0,0.265889951,0
0.12,40,0,0.277717004,0
0.13,40,0,0.288968814,0
0.14,40,0,0.29971327,0
0.15,40,0,0.310006174,0
0.16,40,0,0.319891864,0
0.17,40,0,0.329406434,0
0.18,40,0,0.338581377,0
0.19,40,0,0.34744539,0
0.2,40,0,0.356024209,0
0.21,40,0,0.364339903,0
0.22,40,0,0.372410889,0
0.23,40,0,0.380252851,0
0.24,40,0,0.387879952,0
0.25,40,0,0.395305582,0
0.001,45,0,0.011881872,0
0.002,45,0,0.020616102,0
0.003,45,0,0.027708665,0
0.004,45,0,0.033818247,0
0.005,45,0,0.039277959,0
0.006,45,0,0.044274067,0
0.007,45,0,0.048918869,0
0.008,45,0,0.053284285,0
0.009,45,0,0.057418837,0
0.01,45,0,0.061356836,0
0.02,45,0,0.093645944,0
0.03,45,0,0.11848837,0
0.04,45,0,0.139286524,0
0.05,45,0,0.157424297,0
0.06,45,0,0.173666574,0
0.07,45,0,0.188469437,0
0.08,45,0,0.202122131,0
0.09,45,0,0.214834663,0
0.1,45,0,0.226765331,0
0.11,45,0,0.238029494,0
0.12,45,0,0.248713183,0
0.13,45,0,0.258886482,0
0.14,45,0,0.268609325,0
0.15,45,0,0.277931587,0
0.16,45,0,0.286893109,0
0.17,45,0,0.295525991,0
0.18,45,0,0.303857803,0
0.19,45,0,0.311913604,0
0.2,45,0,0.31971617,0
0.21,45,0,0.327285373,0
0.22,45,0,0.334637899,0
0.23,45,0,0.341787781,0
0.24,45,0,0.348747396,0
0.25,45,0,0.355528307,0
0.001,50,0,0.010712161,0
0.002,50,0,0.018585058,0
0.003,50,0,0.024977532,0
0.004,50,0,0.03048393,0
0.005,50,0,0.035404827,0
0.006,50,0,0.039908293,0
0.007,50,0,0.044095642,0
0.008,50,0,0.04803174,0
0.009,50,0,0.051760329,0
0.01,50,0,0.05531232,0
0.02,50,0,0.084462492,0
0.03,50,0,0.106920539,0
0.04,50,0,0.125745608,0
0.05,50,0,0.142180066,0
0.06,50,0,0.156910803,0
0.07,50,0,0.170348768,0
